ambiguous_fraction,drawer_contradiction_median,drawer_preferred_fraction,drawer_support_median,drawer_support_p25,drawer_supported_frames,evidence_margin,high_confidence_drawer,label,original_frame_id,proposal_id,q_span_used_m,reason,sampled_points,seed_overlap_ratio,source_layer,static_contradiction_median,static_preferred_fraction,static_support_median,static_support_p25,static_supported_frames,target_frame_count,valid_pixels
0.3258620689655172,0.8622452776035632,0.0,0.13775472239643682,0.03826201222647546,11,-1.7244905552071264,False,static,177,frame_177_layer_0,0.3002295680213606,static_region_geometry,1160,0.0,0,0.0,0.6741379310344827,1.0,1.0,28,28,1160
0.8076923076923077,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_1,0.3002295680213606,invalid_insufficient_depth,26,0.0,1,1.0,0.19230769230769232,0.0,0.0,0,28,26
0.1575,0.966148553955918,0.0,0.03385144604408205,0.0022894042464367717,8,-1.932297107911836,False,static,177,frame_177_layer_6,0.3002295680213606,static_region_geometry,1200,0.0,6,0.0,0.8425,1.0,1.0,12,28,1824
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_7,0.3002295680213606,invalid_insufficient_depth,23,0.0,7,1.0,0.0,0.0,0.0,0,28,23
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_8,0.0,invalid_insufficient_depth,0,0.0,8,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_15,0.0,invalid_insufficient_depth,0,0.0,15,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_19,0.0,invalid_insufficient_depth,0,0.0,19,1.0,0.0,0.0,0.0,0,0,0
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_23,0.0,invalid_insufficient_depth,0,0.0,23,1.0,0.0,0.0,0.0,0,0,0
0.2966666666666667,1.0,0.0,0.0,0.0,4,-2.0,False,static,177,frame_177_layer_24,0.3002295680213606,static_region_geometry,1200,0.0,24,0.0,0.7033333333333334,1.0,1.0,28,28,3262
0.29333333333333333,0.12397716425849419,0.705,0.8760228357415059,0.8648049294632723,28,1.4307559198893598,True,drawer,177,frame_177_layer_25,0.3002295680213606,drawer_region_geometry_with_seed,1200,0.9987281399046105,25,0.8393551242031742,0.0016666666666666668,0.16064487579682585,0.13909352142110765,0,28,3145
1.0,1.0,0.0,0.0,0.0,0,0.0,False,invalid,177,frame_177_layer_26,0.0,invalid_insufficient_depth,0,0.0,26,1.0,0.0,0.0,0.0,0,0,0
